"","lhs","op","rhs","label","est","se","z","pvalue","ci.lower","ci.upper"
"151","Education","~*~","Education","",1,0,NA,NA,1,1
"152","Work","~*~","Work","",1,0,NA,NA,1,1
"153","Gym","~*~","Gym","",1,0,NA,NA,1,1
"154","Social","~*~","Social","",1,0,NA,NA,1,1
"155","M_Atr_Z","~1","","",0,0,NA,NA,0,0
"156","X_Atr_Z","~1","","",0,0,NA,NA,0,0
"157","F_Atr_Z","~1","","",0,0,NA,NA,0,0
"158","M_Rom_Z","~1","","",0,0,NA,NA,0,0
"159","X_Rom_Z","~1","","",0,0,NA,NA,0,0
"160","F_Rom_Z","~1","","",0,0,NA,NA,0,0
"161","M_Ero_Z","~1","","",0,0,NA,NA,0,0
"162","X_Ero_Z","~1","","",0,0,NA,NA,0,0
"163","F_Ero_Z","~1","","",0,0,NA,NA,0,0
"164","M_Atr","~1","","",0,0,NA,NA,0,0
"165","X_Atr","~1","","",0,0,NA,NA,0,0
"166","F_Atr","~1","","",0,0,NA,NA,0,0
"167","M_Rom","~1","","",0,0,NA,NA,0,0
"168","X_Rom","~1","","",0,0,NA,NA,0,0
"169","F_Rom","~1","","",0,0,NA,NA,0,0
"170","M_Ero","~1","","",0,0,NA,NA,0,0
"171","X_Ero","~1","","",0,0,NA,NA,0,0
"172","F_Ero","~1","","",0,0,NA,NA,0,0
"173","Inactive","~1","","",0,0,NA,NA,0,0
"174","Education","~1","","",0,0,NA,NA,0,0
"175","Work","~1","","",0,0,NA,NA,0,0
"176","Gym","~1","","",0,0,NA,NA,0,0
"177","Social","~1","","",0,0,NA,NA,0,0
"178","AtrZ","~1","","",0,0,NA,NA,0,0
"179","RomZ","~1","","",0,0,NA,NA,0,0
"180","EroZ","~1","","",0,0,NA,NA,0,0
"181","Atr0","~1","","",0,0,NA,NA,0,0
"182","Rom0","~1","","",0,0,NA,NA,0,0
"183","Ero0","~1","","",0,0,NA,NA,0,0
