"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"X_Act_Z",108,1096,0,0,0,0,0,0,0,0,NA,NA,0
"F_Act_Z",109,1096,0,0,0,0,0,0,0,0,NA,NA,0
"M_Z",110,1096,1.43521897810219,0.961068919477961,1,1.41913439635535,1.4826,0,3,3,-0.028669932855588,-0.977848149884126,0.0290301483734798
"X_Z",111,1096,0.749087591240876,0.757307829409647,1,0.667425968109339,1.4826,0,3,3,0.666000398022863,-0.288117184276458,0.0228753195599144
"F_Z",112,1096,1.36678832116788,0.914895055932826,1,1.33371298405467,1.4826,0,3,3,0.0207035202608597,-0.870997871840513,0.0276354158183784
"Inactive_Z",113,1096,0.246350364963504,0.431081682350705,0,0.183371298405467,0,0,1,1,1.17573171518605,-0.618216503348709,0.0130212984169001
"Education_Z",114,1096,0.0711678832116788,0.25722244004292,0,0,0,0,1,1,3.33128669907089,9.10578176315564,0.00776968794651125
"Gym_Z",115,1096,0.25,0.433210379465581,0,0.187927107061503,0,0,1,1,1.15312056058465,-0.670922631733178,0.0130855980647553
"Work_Z",116,1096,0.380474452554745,0.48572513534847,0,0.350797266514806,0,0,1,1,0.491703980701577,-1.75983038330887,0.01467186427749
"Social_Z",117,1096,0.0921532846715328,0.289374255225607,0,0,0,0,1,1,2.81624633190219,5.93666256158335,0.00874086904113772
"Other_Z",118,1096,0.0346715328467153,0.183030006651914,0,0,0,0,1,1,5.08008392599948,23.8289969774713,0.00552862353803954
